name,minutes,points,reb,asts,stl,blk
Bill,367,153,80,37,20,12
Jerry,1464,736,293,88,11,3
Jerry,3691,1931,739,182,0,0
Tom,33922,20049,6703,2283,885,627
Wilt,47859,31419,23924,4643,0,0
Mike,4,0,0,0,0,0
Tyson,15069,4413,4841,468,289,756
Wilson,3421,1439,572,203,86,91
Don,17406,6216,2913,1593,492,196
Don,1475,447,234,169,66,36
John,0,70,0,20,0,0
Rex,19532,9731,1645,1798,592,129
Wayne,3294,1432,505,316,0,0
Len,1403,606,318,69,0,0
Len,10596,5621,3113,434,0,0
Ken,7637,2747,640,806,407,128
Lorenzo,273,122,39,8,2,6
Calbert,22016,7826,2610,1398,659,197
Maurice,34845,12195,3088,7392,2310,294
Phil,19116,9931,2063,1742,682,238
Derrick,2240,1086,364,110,77,17
Pete,8394,2494,1933,488,267,207
Chris,13614,3710,1308,2633,490,52
Josh,8925,3162,1583,526,289,153
Randolph,405,124,25,49,17,1
Leroy,0,181,15,49,0,0
Jim,4540,2157,1231,213,59,131
Jim,19125,7664,5196,1079,332,643
Bob,11,2,3,0,0,0
Bob,3012,942,1002,203,19,32
Cal,4009,1507,1587,460,0,0
Doug,26074,9301,3382,2992,1555,391
Fred,48,20,8,7,0,0
Steve,5596,2904,861,835,0,0
Robert,20,6,3,1,0,0
Archie,23581,11819,2427,3498,231,15
Carlos,689,223,86,65,43,3
Dick,1137,358,140,101,0,0
Keon,7973,2882,2096,322,184,571
John,1067,331,195,51,0,0
Charles,7,2,2,0,0,1
Speedy,8549,3096,671,1441,503,40
Jim,16994,5412,1981,2531,533,120
Mateen,1866,609,175,310,67,5
John,12585,5312,2532,905,131,11
Nat,14369,5444,4469,1367,0,0
Bill,1120,1669,605,346,0,0
Keith,1647,502,372,44,28,163
Paul,0,19,0,2,0,0
Marion,0,238,0,22,0,0
Ben,157,69,41,5,5,3
Richard,320,68,79,3,6,4
Fred,496,169,51,86,22,3
John,141,41,29,3,2,3
Ben,3612,1494,928,128,94,99
Derrick,25905,12884,7232,1985,606,1051
E.c.,9310,2553,2151,472,305,142
Jack,16479,6721,5186,1749,0,0
Norris,431,153,81,13,11,6
Bimbo,20317,6628,1820,3313,734,134
Art,395,94,41,25,11,1
Doug,13945,7427,1339,1368,518,114
Don,6134,2983,837,546,332,98
James,104,59,14,3,6,3
Jason,2177,841,443,51,36,32
Jason,13404,2404,2463,578,332,334
Jarron,8107,2044,1493,411,132,94
Jimmy,612,281,66,70,0,0
Mardy,2301,631,286,283,87,21
Nick,9271,3097,2628,367,201,260
Joe,0,83,0,9,0,0
Sean,44,15,6,10,1,0
Steve,9570,3319,1051,1482,463,76
Glen,15275,7666,1230,1639,56,13
Leroy,446,218,56,38,23,18
John,189,77,28,11,0,0
Dallas,2241,856,452,95,78,133
Larry,89,25,19,12,0,0
Jeff,6283,1995,601,1002,0,0
Gene,5791,2069,2212,201,0,0
Larry,18,2,0,0,0,0
Mike,3886,1393,415,576,134,10
Ed,11392,4891,2349,949,0,0
Marty,6316,2454,1310,379,148,73
Jimmy,240,106,28,38,11,5
Lester,14970,4337,1861,2669,1085,64
Chuck,0,239,0,41,0,0
Will,51,0,7,9,0,0
Anthony,1499,418,428,34,43,91
Bert,424,118,72,33,0,0
Bobby,0,587,0,158,0,0
Brian,4879,2017,948,226,117,115
Darwin,14156,5820,1308,2248,1044,203
Daequan,3277,1204,367,145,62,19
David,38,9,10,1,4,0
Joe,725,316,114,93,0,0
Jeff,9697,2734,2334,707,306,215
Norm,148,65,30,6,10,3
Omar,213,37,13,46,16,1
Chuck,7964,2725,2431,734,0,0
Duane,781,204,59,178,21,2
Joe,389,109,97,19,11,21
Michael,23635,7729,2769,3666,1033,523
Wayne,20274,7777,6095,852,295,1535
Tom,132,48,36,3,2,6
Hollis,1260,464,161,89,65,27
Lanard,158,90,17,14,3,1
Tyrone,27657,9766,5046,1894,1228,270
Chris,1313,416,129,243,73,4
Ken,0,0,0,0,0,0
Ray,65,394,48,152,0,0
Dave,20772,7615,5262,1477,369,848
Larry,21198,8622,2705,3215,0,0
Jack,0,276,0,65,0,0
James,92,49,16,0,4,1
John,160,68,19,12,7,1
Mel,13723,6516,4756,1100,85,74
Joe,749,264,140,27,20,23
Steve,317,101,22,22,0,0
Bob,30165,16960,4786,6955,0,0
Dave,29565,13516,10444,2910,599,488
Johnny,1685,573,280,142,0,0
John,78,29,10,6,0,1
Wesley,813,342,206,23,34,15
Chris,3986,1654,547,154,101,80
Fred,5047,2031,746,610,0,0
Jamal,19445,9070,1631,2483,623,145
Joe,23,9,4,1,1,0
Jim,172,31,45,4,2,9
Ron,4,0,1,0,0,0
Hal,0,6,0,0,0,0
Joe,155,79,11,26,5,0
Charlie,8960,3534,592,1335,366,21
Russ,439,161,29,54,0,0
Winston,264,87,65,15,5,8
Javaris,1854,595,277,201,59,8
Dillard,1559,1352,215,205,0,0
Bobby,739,325,206,41,0,0
Jeffrey,495,99,139,28,10,23
Terry,28,6,1,7,0,0
Austin,11477,4475,2650,627,245,216
Francis,0,694,0,223,0,0
Jeff,128,26,30,1,2,3
Pete,3775,1057,1519,187,0,0
Russell,354,166,82,22,12,7
John,5797,1903,502,999,181,20
Bill,16,3,2,0,0,0
Corey,357,120,44,18,8,2
Mark,154,84,27,8,5,1
Al,2239,794,731,144,0,0
Pat,14516,6529,3825,807,360,171
Terry,33898,19460,8630,2190,1255,650
Vonteego,3787,1381,321,534,176,32
Billy,22406,13626,6638,2625,115,45
Billy,4438,2684,1343,680,275,21
Dick,3792,1012,1324,221,2,2
Willi,201,14,38,2,3,11
Radisav,166,58,49,12,7,2
Armand,0,10,0,0,0,0
Earl,12420,3620,3172,678,341,361
Bill,1614,394,290,60,61,44
Fran,0,602,0,149,0,0
Dell,23548,12670,2617,1909,985,238
Eddy,12946,6755,2696,286,155,381
Michael,13207,2986,1048,804,336,66
Rastko,48,10,11,3,2,1
Mike,49,20,13,2,0,0
Ed,112,35,22,5,0,0
Quintin,12170,7470,1307,1188,500,51
Samuel,13223,4043,4059,212,250,979
Howie,0,1408,0,340,0,0
Erick,21814,6851,6404,760,300,1269
Lou,4431,1553,261,643,171,36
Lou,27770,13726,2282,4044,236,117
Bob,29502,15530,5715,2846,661,303
Antonio,19641,6620,1608,2931,564,85
Erik,72,13,18,4,2,0
Lloyd,3549,1411,440,312,102,61
Marquis,8257,3315,1128,724,371,90
Mel,126,39,34,6,3,11
